,Variable,LOT-R R2,Expanded model R2,p,Near,Med,Far
0,Dospert,0.0,0.02,0.17,-0.0 (0.95),0.06 (0.32),-0.08 (0.15)
1,ContactsMask.6,0.0,0.03,0.02,-0.04 (0.46),0.05 (0.36),-0.08 (0.11)
2,TimeRiskyFriend.3,0.0,0.04,0.01,0.04 (0.46),-0.08 (0.14),0.01 (0.91)
3,Vaccine.6,0.0,0.07,0.0,0.02 (0.73),0.15 (0.0),-0.05 (0.36)
4,ConcernCovid.6,0.06,0.17,0.0,-0.3 (0.0),-0.08 (0.14),-0.17 (0.0)
5,WillingnessNeigh.6,0.06,0.07,0.17,0.16 (0.0),0.17 (0.0),0.2 (0.0)
6,WillingnessCountry.6,0.02,0.04,0.16,0.12 (0.02),0.11 (0.04),0.17 (0.0)
7,Fundamental1.2.6,0.0,0.06,0.0,-0.07 (0.19),0.11 (0.04),-0.01 (0.81)
8,Fundamental_af,0.09,0.11,0.03,0.16 (0.0),0.26 (0.0),0.22 (0.0)
